article_id,event_id,state_code,title,source_name,source_url,published_date,fetched_via,is_primary
ART-00001,EVT-0001,IN-MH,Maharashtra launches state AI Mission with focus on public services,Mock Times,https://example.com/mock/mock-times/evt-0001-1,2026-07-13,google_news_rss,true
ART-00002,EVT-0002,IN-TN,Tamil Nadu unveils AI policy targeting 2000 startups by 2030,Mock Business Standard,https://example.com/mock/mock-business-standard/evt-0002-1,2026-03-06,google_news_rss,true
ART-00003,EVT-0002,IN-TN,Tamil Nadu unveils artificial intelligence policy targeting 2000 startups by 2030,Mock Tech Wire,https://example.com/mock/mock-tech-wire/evt-0002-2,2026-03-06,google_news_rss,false
ART-00004,EVT-0002,IN-TN,Tamil Nadu unveils AI policy targeting 2000 startups by 2030 - report,Mock Gov Review,https://example.com/mock/mock-gov-review/evt-0002-3,2026-03-07,google_news_rss,false
ART-00005,EVT-0002,IN-TN,Tamil Nadu unveils AI policy targeting 2000 startups by 2030,Mock Regional Post,https://example.com/mock/mock-regional-post/evt-0002-4,2026-03-07,google_news_rss,false
ART-00006,EVT-0003,IN-DL,Delhi rolls out AI tool in revenue department,Mock Tech Wire,https://example.com/mock/mock-tech-wire/evt-0003-1,2025-03-22,google_news_rss,true
ART-00007,EVT-0003,IN-DL,Delhi rolls out AI tool in revenue department - report,Mock Gov Review,https://example.com/mock/mock-gov-review/evt-0003-2,2025-03-22,google_news_rss,false
ART-00008,EVT-0003,IN-DL,Delhi rolls out AI tool in revenue department - report,Mock Regional Post,https://example.com/mock/mock-regional-post/evt-0003-3,2025-03-22,google_news_rss,false
ART-00009,EVT-0004,IN-MH,Maharashtra partners an AI startup consortium to build AI compute facility,Mock Gov Review,https://example.com/mock/mock-gov-review/evt-0004-1,2025-03-15,google_news_rss,true
ART-00010,EVT-0004,IN-MH,Maharashtra partners an artificial intelligence startup consortium to build artificial intelligence compute facility,Mock Regional Post,https://example.com/mock/mock-regional-post/evt-0004-2,2025-03-15,gdelt,false
ART-00011,EVT-0005,IN-MH,Maharashtra budget earmarks Rs 100 crore for AI,Mock Regional Post,https://example.com/mock/mock-regional-post/evt-0005-1,2025-03-09,gdelt,true
ART-00012,EVT-0006,IN-TG,AI Centre of Excellence inaugurated in Hyderabad,Mock Chronicle,https://example.com/mock/mock-chronicle/evt-0006-1,2026-02-13,google_news_rss,true
ART-00013,EVT-0006,IN-TG,AI Centre of Excellence inaugurated in Hyderabad,Mock Herald,https://example.com/mock/mock-herald/evt-0006-2,2026-02-13,google_news_rss,false
ART-00014,EVT-0007,IN-MH,Maharashtra partners a state university to build AI compute facility,Mock Herald,https://example.com/mock/mock-herald/evt-0007-1,2025-04-28,google_news_rss,true
ART-00015,EVT-0007,IN-MH,Explained: Maharashtra partners a state university to build AI compute facility,Mock Daily,https://example.com/mock/mock-daily/evt-0007-2,2025-04-28,gdelt,false
ART-00016,EVT-0007,IN-MH,Maharashtra partners a state university to build artificial intelligence compute facility,Mock Times,https://example.com/mock/mock-times/evt-0007-3,2025-04-28,google_news_rss,false
ART-00017,EVT-0007,IN-MH,Maharashtra partners a state university to build AI compute facility - report,Mock Business Standard,https://example.com/mock/mock-business-standard/evt-0007-4,2025-04-29,gnews,false
ART-00018,EVT-0008,IN-DL,Delhi signs MoU with a state university for AI skilling,Mock Daily,https://example.com/mock/mock-daily/evt-0008-1,2025-01-01,google_news_rss,true
ART-00019,EVT-0009,IN-TG,Telangana rolls out AI tool in health department,Mock Times,https://example.com/mock/mock-times/evt-0009-1,2026-06-30,gnews,true
ART-00020,EVT-0009,IN-TG,Explained: Telangana rolls out AI tool in health department,Mock Business Standard,https://example.com/mock/mock-business-standard/evt-0009-2,2026-06-30,gnews,false
ART-00021,EVT-0009,IN-TG,Telangana rolls out artificial intelligence tool in health department,Mock Tech Wire,https://example.com/mock/mock-tech-wire/evt-0009-3,2026-07-04,google_news_rss,false
ART-00022,EVT-0010,IN-TN,AI pilot for education expands across Tamil Nadu districts,Mock Business Standard,https://example.com/mock/mock-business-standard/evt-0010-1,2025-09-11,gnews,true
ART-00023,EVT-0011,IN-KA,Karnataka rolls out AI tool in agriculture department,Mock Tech Wire,https://example.com/mock/mock-tech-wire/evt-0011-1,2025-03-14,google_news_rss,true
ART-00024,EVT-0011,IN-KA,Karnataka rolls out AI tool in agriculture department - report,Mock Gov Review,https://example.com/mock/mock-gov-review/evt-0011-2,2025-03-18,gnews,false
ART-00025,EVT-0011,IN-KA,Karnataka rolls out artificial intelligence tool in agriculture department,Mock Regional Post,https://example.com/mock/mock-regional-post/evt-0011-3,2025-03-18,google_news_rss,false
ART-00026,EVT-0012,IN-KA,AI pilot for education expands across Karnataka districts,Mock Gov Review,https://example.com/mock/mock-gov-review/evt-0012-1,2025-04-11,google_news_rss,true
ART-00027,EVT-0012,IN-KA,AI pilot for education expands across Karnataka districts - report,Mock Regional Post,https://example.com/mock/mock-regional-post/evt-0012-2,2025-04-11,google_news_rss,false
ART-00029,EVT-0012,IN-KA,AI pilot for education expands across Karnataka districts - report,Mock Herald,https://example.com/mock/mock-herald/evt-0012-4,2025-04-13,google_news_rss,false
ART-00028,EVT-0012,IN-KA,AI pilot for education expands across Karnataka districts,Mock Chronicle,https://example.com/mock/mock-chronicle/evt-0012-3,2025-04-15,google_news_rss,false
